"Date","spy.us"
"06/22/2009","84.91"
"06/19/2009","87.54"
"06/18/2009","87.71"
"06/17/2009","87.07"
"06/16/2009","87.15"
"06/15/2009","88.35"
"06/12/2009","90.43"
"06/11/2009","90.18"
"06/10/2009","89.78"
"06/09/2009","90.01"
"06/08/2009","89.55"
"06/05/2009","89.92"
"06/04/2009","89.90"
"06/03/2009","89.07"
"06/02/2009","90.21"
"06/01/2009","90.13"
"05/29/2009","88.00"
"05/28/2009","86.47"
"05/27/2009","85.28"
"05/26/2009","86.83"
"05/22/2009","84.66"
"05/21/2009","84.84"
"05/20/2009","86.08"
"05/19/2009","86.66"
"05/18/2009","86.76"
"05/15/2009","84.37"
"05/14/2009","85.06"
"05/13/2009","84.34"
"05/12/2009","86.52"
"05/11/2009","86.77"
"05/08/2009","88.43"
"05/07/2009","86.41"
"05/06/2009","87.63"
"05/05/2009","86.14"
"05/04/2009","86.43"
"05/01/2009","83.59"
"04/30/2009","83.14"
"04/29/2009","83.11"
"04/28/2009","81.38"
"04/27/2009","81.64"
"04/24/2009","82.42"
"04/23/2009","81.19"
"04/22/2009","80.40"
"04/21/2009","80.90"
"04/20/2009","79.35"
"04/17/2009","82.82"
"04/16/2009","82.27"
"04/15/2009","81.08"
"04/14/2009","80.22"
"04/13/2009","81.63"
"04/09/2009","81.61"
"04/08/2009","78.49"
"04/07/2009","77.65"
"04/06/2009","79.51"
"04/03/2009","80.14"
"04/02/2009","79.35"
"04/01/2009","77.09"
"03/31/2009","75.63"
"03/30/2009","74.93"
"03/27/2009","77.62"
"03/26/2009","79.04"
"03/25/2009","77.46"
"03/24/2009","76.66"
"03/23/2009","78.20"
"03/20/2009","72.96"
"03/19/2009","75.08"
"03/18/2009","76.02"
"03/17/2009","74.35"
"03/16/2009","72.15"
"03/13/2009","72.37"
"03/12/2009","71.80"
"03/11/2009","69.08"
"03/10/2009","68.64"
"03/09/2009","64.78"
"03/06/2009","65.55"
"03/05/2009","65.43"
"03/04/2009","68.22"
"03/03/2009","66.64"
"03/02/2009","67.14"
"02/27/2009","70.31"
"02/26/2009","71.92"
"02/25/2009","73.11"
"02/24/2009","73.69"
"02/23/2009","71.00"
"02/20/2009","73.63"
"02/19/2009","74.35"
"02/18/2009","75.16"
"02/17/2009","75.34"
"02/13/2009","78.71"
"02/12/2009","79.57"
"02/11/2009","79.51"
"02/10/2009","79.04"
"02/09/2009","82.84"
"02/06/2009","82.72"
"02/05/2009","80.43"
"02/04/2009","79.25"
"02/03/2009","79.64"
"02/02/2009","78.54"
"01/30/2009","78.78"
"01/29/2009","80.41"
"01/28/2009","83.11"
"01/27/2009","80.39"
"01/26/2009","79.58"
"01/23/2009","79.04"
"01/22/2009","78.70"
"01/21/2009","79.94"
"01/20/2009","76.63"
"01/16/2009","80.90"
"01/15/2009","80.27"
"01/14/2009","80.24"
"01/13/2009","82.85"
"01/12/2009","82.69"
"01/09/2009","84.73"
"01/08/2009","86.58"
"01/07/2009","86.23"
"01/06/2009","88.90"
"01/05/2009","88.31"
"01/02/2009","88.41"
"12/31/2008","85.82"
"12/30/2008","84.62"
"12/29/2008","82.66"
"12/26/2008","82.89"
"12/24/2008","82.42"
"12/23/2008","81.94"
"12/22/2008","82.80"
"12/19/2008","83.87"
"12/18/2008","84.92"
"12/17/2008","86.54"
"12/16/2008","87.38"
"12/15/2008","83.46"
"12/12/2008","84.63"
"12/11/2008","83.64"
"12/10/2008","85.70"
"12/09/2008","85.12"
"12/08/2008","86.55"
"12/05/2008","83.63"
"12/04/2008","81.13"
"12/03/2008","83.05"
"12/02/2008","81.10"
"12/01/2008","78.09"
"11/28/2008","85.68"
"11/26/2008","84.62"
"11/25/2008","81.47"
"11/24/2008","80.87"
"11/21/2008","75.63"
"11/20/2008","71.76"
"11/19/2008","77.51"
"11/18/2008","82.82"
"11/17/2008","81.29"
"11/14/2008","82.38"
"11/13/2008","86.71"
"11/12/2008","81.62"
"11/11/2008","85.38"
"11/10/2008","88.10"
"11/07/2008","89.27"
"11/06/2008","86.41"
"11/05/2008","91.48"
"11/04/2008","95.50"
"11/03/2008","92.36"
"10/31/2008","92.09"
"10/30/2008","91.59"
"10/29/2008","88.52"
"10/28/2008","89.17"
"10/27/2008","79.84"
"10/24/2008","82.78"
"10/23/2008","87.20"
"10/22/2008","86.20"
"10/21/2008","91.17"
"10/20/2008","93.97"
"10/17/2008","88.65"
"10/16/2008","89.18"
"10/15/2008","85.61"
"10/14/2008","94.96"
"10/13/2008","96.39"
"10/10/2008","84.17"
"10/09/2008","86.26"
"10/08/2008","92.74"
"10/07/2008","95.13"
"10/06/2008","99.59"
"10/03/2008","104.94"
"10/02/2008","106.38"
